pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
70,0.7500,No dynamic rebalance,3.0000,12443.5174,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,No dynamic rebalance,3.0000,12443.5174,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,No dynamic rebalance,3.0000,12443.5174,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,No dynamic rebalance,3.0000,12443.5174,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,固定最適比率,3.0000,12443.5174,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,固定最適比率,3.0000,12443.5174,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,固定最適比率,3.0000,12443.5174,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,固定最適比率,3.0000,12443.5174,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,DynamicV1Rebalance,3.0000,12443.5174,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,DynamicV1Rebalance,3.0000,12443.5174,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,DynamicV1Rebalance,3.0000,12443.5174,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,DynamicV1Rebalance,3.0000,12443.5174,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,No dynamic rebalance,4.0000,9332.6381,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
70,0.7500,No dynamic rebalance,4.0000,9332.6381,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.2722,-14.2628,-26.1517,-36.6554,-45.9988,-54.5425,-61.9019,-68.7576,-75.1608,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.4710,-130.4259,-140.5448,-152.1410,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,No dynamic rebalance,4.0000,9332.6381,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2488,-12.5365,-24.3443,-34.6598,-44.0856,-52.6877,-60.3223,-67.3862,-73.9385,-80.0657,-85.8604,-91.8433,-97.9204,-104.3514,-111.6782,-119.8876,-128.8581,-138.6990,-149.4569,-160.6972,-173.1256,-186.7423,-201.1859,-216.4234
70,0.7500,No dynamic rebalance,4.0000,9332.6381,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3524,-23.7683,-34.3486,-43.7451,-52.0507,-59.5477,-66.4552,-72.7831,-78.7534,-84.8044,-90.8615,-97.4888,-104.5905,-112.0122,-119.8577,-127.9142,-137.2854,-146.5969,-156.1209,-167.0939,-177.5707,-189.0565
70,0.7500,固定最適比率,4.0000,9332.6381,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,固定最適比率,4.0000,9332.6381,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,固定最適比率,4.0000,9332.6381,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,固定最適比率,4.0000,9332.6381,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,DynamicV1Rebalance,4.0000,9332.6381,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,DynamicV1Rebalance,4.0000,9332.6381,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,DynamicV1Rebalance,4.0000,9332.6381,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,DynamicV1Rebalance,4.0000,9332.6381,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,No dynamic rebalance,5.0000,7466.1105,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9985,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955
70,0.7500,No dynamic rebalance,5.0000,7466.1105,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,302.8043,293.3659,-2.2722,-14.2628,-26.1517,-36.6554,-45.9988,-54.5425,-61.9019,-68.7576,-75.1608,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.4710,-130.4259,-140.5251,-152.0886,-165.3605,-180.0177,-196.1971,-214.9683,-234.9522,-255.7937
70,0.7500,No dynamic rebalance,5.0000,7466.1105,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3218,342.7612,12.2818,-0.2488,-12.5365,-24.3072,-34.6323,-44.0567,-52.6329,-60.3143,-67.3468,-73.9160,-80.0426,-85.8435,-91.8261,-97.9145,-104.3371,-111.6359,-119.8491,-128.8412,-138.6488,-149.3199,-160.4879,-172.9648,-186.5512,-201.0236,-216.1254
70,0.7500,No dynamic rebalance,5.0000,7466.1105,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.1153,401.0180,26.4607,13.0807,0.0773,-12.3399,-23.7396,-34.2518,-43.5926,-52.0046,-59.4887,-66.4154,-72.7441,-78.6842,-84.7733,-90.7606,-97.4072,-104.5174,-111.8980,-119.6470,-127.7526,-137.1008,-146.2868,-155.9694,-166.6596,-177.1709,-188.8098
70,0.7500,固定最適比率,5.0000,7466.1105,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9985,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955
70,0.7500,固定最適比率,5.0000,7466.1105,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,302.8043,293.3659,-2.2722,-14.2628,-26.1517,-36.6554,-45.9988,-54.5425,-61.9019,-68.7576,-75.1608,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.4710,-130.4259,-140.5251,-152.0886,-165.3605,-180.0177,-196.1971,-214.9683,-234.9522,-255.7937
70,0.7500,固定最適比率,5.0000,7466.1105,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3218,342.7612,12.2818,-0.2488,-12.5365,-24.3072,-34.6323,-44.0567,-52.6329,-60.3143,-67.3468,-73.9160,-80.0426,-85.8435,-91.8261,-97.9145,-104.3371,-111.6359,-119.8491,-128.8412,-138.6488,-149.3199,-160.4879,-172.9648,-186.5512,-201.0236,-216.1254
70,0.7500,固定最適比率,5.0000,7466.1105,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.1153,401.0180,26.4607,13.0807,0.0773,-12.3399,-23.7396,-34.2518,-43.5926,-52.0046,-59.4887,-66.4154,-72.7441,-78.6842,-84.7733,-90.7606,-97.4072,-104.5174,-111.8980,-119.6470,-127.7526,-137.1008,-146.2868,-155.9694,-166.6596,-177.1709,-188.8098
70,0.7500,DynamicV1Rebalance,5.0000,7466.1105,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9985,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955
70,0.7500,DynamicV1Rebalance,5.0000,7466.1105,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,302.8043,293.3659,-2.2722,-14.2628,-26.1517,-36.6554,-45.9988,-54.5425,-61.9019,-68.7576,-75.1608,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.4710,-130.4259,-140.5251,-152.0886,-165.3605,-180.0177,-196.1971,-214.9683,-234.9522,-255.7937
70,0.7500,DynamicV1Rebalance,5.0000,7466.1105,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3218,342.7612,12.2818,-0.2488,-12.5365,-24.3072,-34.6323,-44.0567,-52.6329,-60.3143,-67.3468,-73.9160,-80.0426,-85.8435,-91.8261,-97.9145,-104.3371,-111.6359,-119.8491,-128.8412,-138.6488,-149.3199,-160.4879,-172.9648,-186.5512,-201.0236,-216.1254
